date,open,high,low,close,volume
2025-09-01,100.00,101.50,99.40,101.20,1200000
2025-09-02,101.20,102.00,100.50,101.80,1100000
2025-09-03,101.80,103.00,101.40,102.70,1500000
2025-09-04,102.70,104.00,102.50,103.90,1400000
2025-09-05,103.90,104.50,103.00,103.20,1300000
2025-09-08,103.20,103.80,102.60,103.50,1250000
2025-09-09,103.50,104.20,103.10,104.00,1600000
2025-09-10,104.00,105.00,103.80,104.90,1700000
2025-09-11,104.90,105.50,104.20,105.10,1650000
2025-09-12,105.10,106.00,104.90,105.80,1550000
2025-09-15,105.80,106.50,105.20,106.40,1580000
2025-09-16,106.40,107.00,105.90,106.80,1620000
2025-09-17,106.80,107.50,106.50,107.20,1680000
2025-09-18,107.20,108.00,106.90,107.90,1750000
2025-09-19,107.90,108.50,107.30,107.50,1300000
2025-09-22,107.50,108.20,107.10,107.90,1200000
2025-09-23,107.90,109.00,107.70,108.80,1800000
2025-09-24,108.80,109.50,108.40,109.10,1750000
2025-09-25,109.10,110.00,108.90,109.80,1900000
2025-09-26,109.80,110.50,109.20,109.50,1600000
2025-09-29,109.50,110.20,109.00,109.90,1500000
2025-09-30,109.90,111.00,109.80,110.60,2000000
2025-10-01,110.60,111.50,110.20,111.20,2100000
2025-10-02,111.20,112.00,110.80,111.50,2050000
2025-10-03,111.50,112.50,111.30,112.10,2200000
2025-10-06,112.10,113.00,111.90,112.80,2300000
2025-10-07,112.80,113.50,112.40,113.10,2250000
2025-10-08,113.10,114.00,112.90,113.85,2400000
2025-10-09,113.85,115.00,113.60,114.90,2500000
2025-10-10,114.90,116.00,114.50,115.70,2600000
